timestamp,signal,confidence,buy_probability,sell_probability,no_trade_probability,trade_recommended
2025-07-17 02:30:00.265,SELL,1.0,2.3396384865877283e-19,1.0,1.0438726173929611e-24,True
2025-07-17 02:30:03.493,SELL,1.0,1.8016605079576408e-19,1.0,7.126472289267665e-25,True
2025-07-17 02:30:13.821,SELL,1.0,2.753100321375355e-19,1.0,1.3956522204789483e-24,True
2025-07-17 02:30:34.879,SELL,1.0,3.3632240883035226e-19,1.0,1.8579958070275443e-24,True
2025-07-17 02:30:49.883,SELL,1.0,3.997722541438155e-19,1.0,2.3190357023226494e-24,True
2025-07-17 02:30:52.408,SELL,1.0,3.805497140814254e-19,1.0,2.2763687797571868e-24,True
2025-07-17 02:31:04.044,SELL,1.0,6.986709182613433e-19,1.0,5.8797270309800456e-24,True
2025-07-17 02:31:21.369,SELL,1.0,5.258396976769371e-19,1.0,3.264630844851819e-24,True
2025-07-17 02:31:34.154,SELL,1.0,5.127248007636971e-19,1.0,3.0545889374428987e-24,True
2025-07-17 02:31:53.646,SELL,1.0,4.941634882034666e-19,1.0,3.16487681958868e-24,True
2025-07-17 02:32:16.743,SELL,1.0,6.1051781509247255e-19,1.0,4.167919377033986e-24,True
2025-07-17 02:32:31.423,SELL,1.0,4.575009822987382e-19,1.0,2.3646212130222034e-24,True
2025-07-17 02:32:43.553,SELL,1.0,7.068041199354826e-19,1.0,5.1539043951256975e-24,True
2025-07-17 02:33:16.125,SELL,1.0,6.71646410661353e-19,1.0,4.793514473866836e-24,True
2025-07-17 02:33:47.061,SELL,1.0,7.801108303738868e-19,1.0,5.65342137550341e-24,True
2025-07-17 02:33:54.465,SELL,1.0,7.36790347718719e-19,1.0,4.875264523905342e-24,True
2025-07-17 02:34:01.754,SELL,1.0,9.78183363952772e-19,1.0,7.771445852844883e-24,True
2025-07-17 02:34:17.573,SELL,1.0,5.788960444430657e-19,1.0,3.2713503620424916e-24,True
2025-07-17 02:34:43.275,SELL,1.0,8.70535526601193e-19,1.0,6.987144563656049e-24,True
2025-07-17 02:34:57.582,SELL,1.0,5.638961580101822e-19,1.0,3.2150718417726668e-24,True
2025-07-17 02:35:26.440,SELL,1.0,6.882221795587266e-19,1.0,4.4283235451387996e-24,True
2025-07-17 02:35:35.320,SELL,1.0,4.599789052212173e-19,1.0,2.397418894017672e-24,True
2025-07-17 02:35:35.450,SELL,1.0,3.764678621018118e-19,1.0,1.7172054346900346e-24,True
2025-07-17 02:35:42.845,SELL,1.0,2.171096300876986e-19,1.0,7.186202864858737e-25,True
2025-07-17 02:35:54.099,SELL,1.0,2.4693228290480263e-19,1.0,1.0482100704727057e-24,True
2025-07-17 02:35:57.633,SELL,1.0,2.4747261279055875e-19,1.0,1.0304603056747803e-24,True
2025-07-17 02:36:06.263,SELL,1.0,2.5636472682732137e-19,1.0,1.0554846499178144e-24,True
2025-07-17 02:36:21.501,SELL,1.0,2.909972798100564e-19,1.0,1.355512216608135e-24,True
2025-07-17 02:36:27.930,SELL,1.0,3.11339408831537e-19,1.0,1.617503277031414e-24,True
2025-07-17 02:36:38.299,SELL,1.0,3.036612081930901e-19,1.0,1.516492596346258e-24,True
